Longitude;Latitude;Date;Time
116.3388;39.97778333;05/08/17;01:33:30
116.3393833;39.9768;05/08/17;01:40:07
116.33875;39.97891667;05/08/17;01:45:22
116.3374667;39.98171667;05/08/17;01:50:26
116.3372167;39.98176667;05/08/17;02:17:08
116.3394333;39.98188333;05/08/17;02:20:15
116.3417833;39.98045;05/08/17;02:25:16
116.3454333;39.97983333;05/08/17;02:30:07
116.3473667;39.9793;05/08/17;04:03:17
116.3420167;39.97998333;05/08/17;04:07:36
116.33905;39.98045;05/08/17;04:11:27
116.3388167;39.98046667;05/08/17;04:33:53
116.3393167;39.97983333;05/08/17;04:35:06
116.3428833;39.97991667;05/08/17;04:40:23
116.3454333;39.97975;05/08/17;04:43:35
116.34605;39.97965;05/08/17;07:25:01
116.3470333;39.97875;05/08/17;07:28:00
116.34735;39.9758;05/08/17;07:32:02
116.3466167;39.97335;05/08/17;07:36:53
116.3466667;39.9731;05/08/17;07:45:13
116.3468833;39.96308333;05/08/17;07:48:11
116.3521833;39.95653333;05/08/17;07:51:16
116.3611167;39.9567;05/08/17;07:55:50
116.3634833;39.95676667;05/08/17;08:00:24
116.3670333;39.95665;05/08/17;08:04:48
116.3699833;39.95578333;05/08/17;08:17:16
116.3727;39.9573;05/08/17;08:22:16
116.3729833;39.95096667;05/08/17;08:32:09
116.37265;39.94805;05/08/17;08:35:17
116.3874167;39.9466;05/08/17;08:40:36
116.3875333;39.94628333;05/08/17;08:56:35
116.3877833;39.94613333;05/08/17;09:00:52
116.3877833;39.94613333;05/08/17;09:00:52
116.4551333;39.90451667;05/08/17;09:48:30
116.4571167;39.90546667;05/08/17;09:52:00
116.4547667;39.87473333;05/08/17;09:59:35
116.4661667;39.8467;05/08/17;10:04:09
116.4723833;39.80765;05/08/17;10:10:28
116.47835;39.79968333;05/08/17;10:14:55
116.4853667;39.79891667;05/08/17;10:19:17
116.4673667;39.80658333;05/08/17;10:37:12
116.4495833;39.82166667;05/08/17;10:41:51
116.44065;39.83516667;05/08/17;10:50:34
116.4394;39.85155;05/08/17;10:55:07
116.4389167;39.85733333;05/08/17;11:02:44
116.4389167;39.85733333;05/08/17;11:02:44
116.4558667;39.89866667;05/08/17;11:11:15
116.4558667;39.89866667;05/08/17;11:11:15
116.45515;39.95185;05/08/17;11:20:00
116.45515;39.95185;05/08/17;11:20:00
116.3762833;39.96708333;05/08/17;11:30:24
116.3762833;39.96708333;05/08/17;11:30:24
116.3592833;39.97166667;05/08/17;11:40:13
116.3473333;39.98035;05/08/17;11:50:21
116.3444167;39.97861667;05/08/17;15:45:08
116.3409333;39.97795;05/08/17;15:50:14
116.3388;39.97655;05/08/17;15:55:19
116.3376;39.97696667;05/08/17;16:01:20
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;